barcode,product_name,brand,category,skin_type,key_ingredients,price,rating,review_count,ph_level,is_fragrance_free,is_paraben_free,is_cruelty_free,country,launch_year
890100000014,Olay Tea Tree Oil Moisturizer 14,Olay,Moisturizer,oily,Tea Tree Oil,253.14,3.6,3283,5.9,True,False,False,Korea,2021
890100000015,Mamaearth Zinc Oxide Toner 15,Mamaearth,Toner,oily,Zinc Oxide,962.28,4.6,4353,6.0,True,False,True,Korea,2020
890100000016,Neutrogena Zinc Oxide Serum 16,Neutrogena,Serum,oily,Zinc Oxide,1511.55,4.1,331,6.6,False,False,False,USA,2021
890100000017,Cetaphil Retinol Toner 17,Cetaphil,Toner,all,Retinol,358.99,3.9,2527,6.2,False,True,False,USA,2015
890100000018,Neutrogena Aloe Vera Moisturizer 18,Neutrogena,Moisturizer,combination,Aloe Vera,1242.83,3.9,4506,6.1,True,False,True,Korea,2022
890100000019,Minimalist Vitamin C Cleanser 19,Minimalist,Cleanser,oily,Vitamin C,1935.56,4.0,373,5.1,False,False,True,Korea,2021
890100000020,Plum Hyaluronic Acid Cleanser 20,Plum,Cleanser,combination,Hyaluronic Acid,1636.58,4.1,3428,5.9,True,False,True,France,2020
890100000021,Aveeno Hyaluronic Acid Toner 21,Aveeno,Toner,all,Hyaluronic Acid,1292.74,4.3,1593,5.6,False,True,False,Germany,2022
890100000022,Aveeno Retinol Toner 22,Aveeno,Toner,combination,Retinol,1617.3,4.8,4424,6.6,True,False,True,Germany,2017
890100000023,Aveeno Retinol Toner 23,Aveeno,Toner,sensitive,Retinol,1216.95,4.6,2886,5.3,False,False,False,India,2016
890100000024,Bioderma Tea Tree Oil Serum 24,Bioderma,Serum,combination,Tea Tree Oil,474.07,3.6,4911,5.3,True,False,False,Germany,2024
890100000025,Bioderma Ceramide Treatment 25,Bioderma,Treatment,dry,Ceramide,1178.52,4.7,2615,4.5,True,True,False,Germany,2025
890100000026,Bioderma Zinc Oxide Serum 26,Bioderma,Serum,dry,Zinc Oxide,1725.48,3.8,4844,5.8,False,False,True,India,2018
890100000027,Plum Retinol Treatment 27,Plum,Treatment,sensitive,Retinol,798.68,4.7,1962,6.0,False,True,True,India,2024
890100000028,Olay Retinol Serum 28,Olay,Serum,all,Retinol,483.35,3.8,3125,4.7,True,False,True,USA,2019
890100000029,Simple Salicylic Acid Treatment 29,Simple,Treatment,combination,Salicylic Acid,600.85,3.7,1300,6.7,True,True,True,France,2020
890100000030,Bioderma Tea Tree Oil Sunscreen 30,Bioderma,Sunscreen,oily,Tea Tree Oil,444.76,3.2,2914,5.4,True,False,True,Korea,2023
890100000031,Minimalist Vitamin C Moisturizer 31,Minimalist,Moisturizer,oily,Vitamin C,701.26,4.9,77,6.6,False,True,False,Korea,2023
890100000032,Bioderma Zinc Oxide Treatment 32,Bioderma,Treatment,oily,Zinc Oxide,1702.39,3.3,1399,5.1,True,False,True,Korea,2021
890100000033,Aveeno Tea Tree Oil Serum 33,Aveeno,Serum,oily,Tea Tree Oil,1361.18,4.4,3072,6.1,False,True,True,Korea,2017
890100000034,Aveeno Panthenol Cleanser 34,Aveeno,Cleanser,sensitive,Panthenol,1541.52,4.3,2108,5.5,True,True,True,Korea,2024
890100000035,Cetaphil Hyaluronic Acid Toner 35,Cetaphil,Toner,all,Hyaluronic Acid,1092.84,3.0,837,6.0,True,True,True,Korea,2025
890100000036,Bioderma Niacinamide Sunscreen 36,Bioderma,Sunscreen,all,Niacinamide,1405.74,4.9,3879,5.3,False,True,True,France,2024
890100000037,Mamaearth Niacinamide Treatment 37,Mamaearth,Treatment,all,Niacinamide,1426.7,3.2,701,5.3,False,True,True,USA,2022
890100000038,Neutrogena Zinc Oxide Toner 38,Neutrogena,Toner,dry,Zinc Oxide,1371.47,3.0,1457,5.4,False,True,True,Korea,2019
890100000039,Minimalist Niacinamide Moisturizer 39,Minimalist,Moisturizer,sensitive,Niacinamide,343.62,3.4,2876,6.5,False,False,True,Korea,2019
890100000040,Cetaphil Ceramide Moisturizer 40,Cetaphil,Moisturizer,all,Ceramide,1181.71,4.6,31,6.6,True,False,False,France,2022
890100000041,Cetaphil Zinc Oxide Toner 41,Cetaphil,Toner,all,Zinc Oxide,723.77,4.2,2993,5.1,False,True,True,Korea,2020
890100000042,Mamaearth Retinol Serum 42,Mamaearth,Serum,dry,Retinol,523.22,3.2,1139,5.1,False,False,False,Korea,2023
890100000043,Cetaphil Panthenol Toner 43,Cetaphil,Toner,oily,Panthenol,202.74,3.5,2682,5.4,True,False,True,Korea,2018
890100000044,Simple Salicylic Acid Sunscreen 44,Simple,Sunscreen,sensitive,Salicylic Acid,1707.46,3.3,439,4.7,True,False,True,USA,2018
890100000045,Cetaphil Vitamin C Serum 45,Cetaphil,Serum,combination,Vitamin C,1618.36,3.0,2294,5.6,True,True,False,France,2015
890100000046,Simple Aloe Vera Serum 46,Simple,Serum,dry,Aloe Vera,1689.31,4.1,2703,5.3,True,False,True,India,2022
890100000047,Olay Vitamin C Moisturizer 47,Olay,Moisturizer,dry,Vitamin C,209.72,4.9,26,5.9,True,False,False,USA,2025
890100000048,Minimalist Hyaluronic Acid Moisturizer 48,Minimalist,Moisturizer,combination,Hyaluronic Acid,1422.94,3.5,2719,5.6,True,False,False,USA,2025
890100000049,Neutrogena Hyaluronic Acid Sunscreen 49,Neutrogena,Sunscreen,sensitive,Hyaluronic Acid,1144.79,4.5,2301,4.7,True,True,True,Korea,2016
890100000050,Cetaphil Ceramide Serum 50,Cetaphil,Serum,dry,Ceramide,1494.63,3.3,4559,5.5,True,True,False,USA,2015
890100000051,Plum Panthenol Toner 51,Plum,Toner,oily,Panthenol,1478.87,4.7,242,7.0,True,False,False,India,2017
890100000052,Neutrogena Salicylic Acid Toner 52,Neutrogena,Toner,all,Salicylic Acid,518.0,3.4,44,5.8,True,False,False,France,2019
890100000053,Bioderma Salicylic Acid Cleanser 53,Bioderma,Cleanser,all,Salicylic Acid,1879.37,4.2,1730,6.9,True,True,False,Korea,2015
890100000054,Cetaphil Hyaluronic Acid Toner 54,Cetaphil,Toner,oily,Hyaluronic Acid,822.22,3.8,2200,6.3,False,True,False,India,2018
890100000055,Neutrogena Ceramide Toner 55,Neutrogena,Toner,combination,Ceramide,1096.13,4.6,1298,5.5,True,True,False,India,2016
890100000056,Olay Niacinamide Sunscreen 56,Olay,Sunscreen,all,Niacinamide,289.35,3.3,2681,5.9,False,True,False,USA,2019
890100000057,Simple Niacinamide Moisturizer 57,Simple,Moisturizer,combination,Niacinamide,1589.41,4.6,4682,5.5,False,False,False,Germany,2020
890100000058,Olay Salicylic Acid Sunscreen 58,Olay,Sunscreen,oily,Salicylic Acid,1980.66,3.5,604,7.0,False,True,True,Germany,2021
890100000059,Plum Aloe Vera Toner 59,Plum,Toner,all,Aloe Vera,360.72,3.3,561,6.3,False,True,False,Germany,2022
890100000060,Olay Tea Tree Oil Treatment 60,Olay,Treatment,oily,Tea Tree Oil,1379.22,4.4,319,4.8,False,True,False,India,2018
890100000061,Minimalist Zinc Oxide Toner 61,Minimalist,Toner,combination,Zinc Oxide,790.85,4.0,3807,4.5,False,False,False,Germany,2018
890100000062,Minimalist Vitamin C Sunscreen 62,Minimalist,Sunscreen,sensitive,Vitamin C,1391.99,3.8,4812,5.1,True,False,False,USA,2017
890100000063,Minimalist Vitamin C Treatment 63,Minimalist,Treatment,oily,Vitamin C,1533.51,4.0,4158,5.8,True,False,True,France,2020
890100000064,Cetaphil Ceramide Moisturizer 64,Cetaphil,Moisturizer,all,Ceramide,1715.89,4.9,2087,6.3,True,False,True,Germany,2020
890100000065,Bioderma Vitamin C Moisturizer 65,Bioderma,Moisturizer,oily,Vitamin C,1462.26,3.1,3164,5.9,True,True,False,Korea,2015
890100000066,Minimalist Hyaluronic Acid Serum 66,Minimalist,Serum,combination,Hyaluronic Acid,412.96,3.8,3686,4.8,False,True,True,Korea,2017
890100000067,Bioderma Zinc Oxide Moisturizer 67,Bioderma,Moisturizer,all,Zinc Oxide,1444.07,4.8,4914,6.3,False,True,False,USA,2024
890100000068,Olay Vitamin C Sunscreen 68,Olay,Sunscreen,all,Vitamin C,1880.38,4.5,2131,5.2,True,True,False,USA,2023
890100000069,Simple Tea Tree Oil Sunscreen 69,Simple,Sunscreen,sensitive,Tea Tree Oil,1068.45,3.1,54,7.0,True,True,False,USA,2020
890100000070,Mamaearth Salicylic Acid Serum 70,Mamaearth,Serum,oily,Salicylic Acid,1088.28,4.2,4406,5.6,False,False,True,Korea,2023
890100000071,Plum Niacinamide Sunscreen 71,Plum,Sunscreen,combination,Niacinamide,873.01,4.2,700,7.0,True,False,False,Korea,2022
890100000072,Olay Panthenol Moisturizer 72,Olay,Moisturizer,combination,Panthenol,1706.41,4.5,233,5.1,True,False,True,India,2023
890100000073,Minimalist Niacinamide Cleanser 73,Minimalist,Cleanser,sensitive,Niacinamide,1028.66,4.2,1649,5.9,False,False,True,Germany,2025
890100000074,Bioderma Niacinamide Treatment 74,Bioderma,Treatment,combination,Niacinamide,437.96,3.7,4096,6.2,False,True,False,France,2025
890100000075,Simple Aloe Vera Sunscreen 75,Simple,Sunscreen,all,Aloe Vera,1028.49,4.1,1941,6.4,True,True,False,India,2015
890100000076,Simple Zinc Oxide Moisturizer 76,Simple,Moisturizer,combination,Zinc Oxide,1258.32,3.7,4269,4.7,False,True,False,Korea,2019
890100000077,Simple Tea Tree Oil Serum 77,Simple,Serum,sensitive,Tea Tree Oil,1412.93,3.8,960,5.0,True,True,True,Korea,2019
890100000078,Aveeno Panthenol Moisturizer 78,Aveeno,Moisturizer,oily,Panthenol,855.1,4.0,1838,5.5,True,False,True,USA,2023
890100000079,Minimalist Retinol Moisturizer 79,Minimalist,Moisturizer,all,Retinol,897.05,4.2,1241,5.6,False,False,False,USA,2022
890100000080,Simple Vitamin C Serum 80,Simple,Serum,sensitive,Vitamin C,1644.53,4.3,3854,5.1,True,True,False,France,2019
890100000081,Minimalist Ceramide Sunscreen 81,Minimalist,Sunscreen,combination,Ceramide,1340.57,4.5,558,4.6,True,True,True,France,2023
890100000082,Bioderma Hyaluronic Acid Serum 82,Bioderma,Serum,all,Hyaluronic Acid,666.61,3.8,1535,6.0,True,False,False,USA,2019
890100000083,Cetaphil Hyaluronic Acid Sunscreen 83,Cetaphil,Sunscreen,all,Hyaluronic Acid,1027.72,3.1,1762,5.1,True,False,True,Korea,2019
890100000084,Cetaphil Tea Tree Oil Cleanser 84,Cetaphil,Cleanser,all,Tea Tree Oil,1851.09,3.6,1729,6.5,True,True,True,India,2023
890100000085,Minimalist Panthenol Cleanser 85,Minimalist,Cleanser,all,Panthenol,1226.96,4.7,3580,7.0,False,False,True,Korea,2015
890100000086,Plum Aloe Vera Treatment 86,Plum,Treatment,combination,Aloe Vera,1586.18,4.8,2403,5.6,True,True,False,India,2021
890100000087,Aveeno Ceramide Serum 87,Aveeno,Serum,sensitive,Ceramide,1369.98,3.5,2397,5.7,True,False,True,USA,2018
890100000088,Aveeno Tea Tree Oil Cleanser 88,Aveeno,Cleanser,all,Tea Tree Oil,883.71,4.4,1275,6.6,True,False,True,India,2023
890100000089,Minimalist Tea Tree Oil Moisturizer 89,Minimalist,Moisturizer,combination,Tea Tree Oil,1305.2,3.2,3712,5.4,True,False,False,India,2020
890100000090,Olay Retinol Sunscreen 90,Olay,Sunscreen,combination,Retinol,348.31,4.4,2466,6.1,False,True,True,Korea,2025
890100000091,Bioderma Ceramide Moisturizer 91,Bioderma,Moisturizer,combination,Ceramide,637.99,4.8,1726,5.2,False,True,False,France,2022
890100000092,Mamaearth Salicylic Acid Cleanser 92,Mamaearth,Cleanser,all,Salicylic Acid,385.96,4.6,1708,5.7,True,True,True,USA,2015
890100000093,Aveeno Hyaluronic Acid Serum 93,Aveeno,Serum,combination,Hyaluronic Acid,1260.55,3.2,1562,6.9,False,False,False,USA,2024
890100000094,Mamaearth Retinol Serum 94,Mamaearth,Serum,sensitive,Retinol,1156.39,3.3,288,4.9,True,True,True,Germany,2015
890100000095,Minimalist Panthenol Sunscreen 95,Minimalist,Sunscreen,combination,Panthenol,1390.98,4.2,978,6.4,True,False,True,India,2024
890100000096,Olay Ceramide Cleanser 96,Olay,Cleanser,oily,Ceramide,1685.84,3.2,1665,5.9,False,False,True,USA,2015
890100000097,Minimalist Salicylic Acid Treatment 97,Minimalist,Treatment,oily,Salicylic Acid,856.76,4.5,2141,4.8,False,False,False,USA,2021
890100000098,Plum Tea Tree Oil Moisturizer 98,Plum,Moisturizer,dry,Tea Tree Oil,1888.29,3.9,2594,6.7,True,True,True,USA,2015
890100000099,Bioderma Zinc Oxide Serum 99,Bioderma,Serum,combination,Zinc Oxide,1655.28,4.0,3978,5.3,True,False,True,France,2025
890100000100,Aveeno Vitamin C Treatment 100,Aveeno,Treatment,combination,Vitamin C,823.42,3.2,4599,6.5,True,True,True,USA,2021
890100000101,Aveeno Ceramide Cleanser 101,Aveeno,Cleanser,dry,Ceramide,1046.88,3.5,4932,6.5,False,False,False,Germany,2019
890100000102,Minimalist Niacinamide Serum 102,Minimalist,Serum,oily,Niacinamide,846.93,4.9,1136,6.8,False,True,True,France,2017
890100000103,Bioderma Salicylic Acid Toner 103,Bioderma,Toner,oily,Salicylic Acid,231.86,3.9,1437,6.4,True,False,True,Germany,2021
890100000104,Simple Panthenol Cleanser 104,Simple,Cleanser,sensitive,Panthenol,1370.25,3.5,2773,4.6,True,True,False,India,2022
890100000105,Mamaearth Vitamin C Moisturizer 105,Mamaearth,Moisturizer,sensitive,Vitamin C,1037.8,3.2,4416,5.0,True,False,True,Germany,2017
890100000106,Bioderma Panthenol Moisturizer 106,Bioderma,Moisturizer,oily,Panthenol,1297.58,4.6,3275,6.4,True,True,True,Germany,2025
890100000107,Mamaearth Panthenol Cleanser 107,Mamaearth,Cleanser,all,Panthenol,499.87,3.9,4186,6.8,False,True,True,Germany,2023
890100000108,Simple Hyaluronic Acid Treatment 108,Simple,Treatment,dry,Hyaluronic Acid,913.06,3.6,1694,4.8,True,True,False,Germany,2025
890100000109,Bioderma Panthenol Toner 109,Bioderma,Toner,oily,Panthenol,1915.15,4.3,3718,5.7,False,True,False,Germany,2016
890100000110,Plum Ceramide Serum 110,Plum,Serum,sensitive,Ceramide,953.58,4.6,4428,5.3,True,True,True,USA,2020
890100000111,Neutrogena Vitamin C Serum 111,Neutrogena,Serum,oily,Vitamin C,1595.68,3.1,3047,4.7,True,True,True,Germany,2022
890100000112,Simple Tea Tree Oil Moisturizer 112,Simple,Moisturizer,oily,Tea Tree Oil,1420.83,4.7,1402,4.5,True,True,False,India,2015
890100000113,Bioderma Ceramide Serum 113,Bioderma,Serum,oily,Ceramide,1960.82,3.5,4271,4.7,False,True,False,India,2017
890100000114,Bioderma Salicylic Acid Treatment 114,Bioderma,Treatment,all,Salicylic Acid,1066.68,4.8,3001,4.9,False,True,True,Korea,2023
890100000115,Aveeno Salicylic Acid Moisturizer 115,Aveeno,Moisturizer,oily,Salicylic Acid,1717.79,3.1,3552,6.5,False,True,False,France,2019
890100000116,Bioderma Salicylic Acid Serum 116,Bioderma,Serum,dry,Salicylic Acid,568.08,3.7,1331,5.0,False,False,False,Germany,2017
890100000117,Mamaearth Aloe Vera Cleanser 117,Mamaearth,Cleanser,oily,Aloe Vera,1646.33,3.6,4076,6.3,True,False,False,USA,2024
890100000118,Cetaphil Ceramide Serum 118,Cetaphil,Serum,oily,Ceramide,775.69,4.0,2746,5.0,True,False,True,Korea,2019
890100000119,Bioderma Zinc Oxide Toner 119,Bioderma,Toner,sensitive,Zinc Oxide,752.2,4.4,3322,6.1,False,True,False,India,2025
890100000120,Mamaearth Retinol Serum 120,Mamaearth,Serum,combination,Retinol,406.48,4.4,2618,4.7,False,False,True,Germany,2019
890100000121,Bioderma Ceramide Treatment 121,Bioderma,Treatment,oily,Ceramide,1703.06,4.4,1237,5.7,False,False,True,France,2022
890100000122,Cetaphil Aloe Vera Toner 122,Cetaphil,Toner,all,Aloe Vera,604.93,3.8,3512,4.8,True,True,False,Korea,2020
890100000123,Simple Aloe Vera Toner 123,Simple,Toner,sensitive,Aloe Vera,725.63,3.7,2059,6.9,True,True,False,USA,2025
890100000124,Simple Salicylic Acid Serum 124,Simple,Serum,oily,Salicylic Acid,1892.46,3.8,2115,5.0,False,False,True,France,2019
890100000125,Simple Vitamin C Toner 125,Simple,Toner,combination,Vitamin C,873.73,3.7,3511,6.3,False,True,True,France,2022
890100000126,Mamaearth Tea Tree Oil Toner 126,Mamaearth,Toner,all,Tea Tree Oil,924.87,3.7,1661,5.3,False,False,True,Korea,2023
890100000127,Bioderma Aloe Vera Serum 127,Bioderma,Serum,all,Aloe Vera,551.02,3.4,1274,4.9,False,False,False,Korea,2021
890100000128,Mamaearth Retinol Treatment 128,Mamaearth,Treatment,oily,Retinol,1968.96,3.4,1223,6.5,True,False,True,France,2023
890100000129,Cetaphil Niacinamide Moisturizer 129,Cetaphil,Moisturizer,oily,Niacinamide,1972.44,3.2,4475,6.9,False,True,False,USA,2025
890100000130,Cetaphil Retinol Toner 130,Cetaphil,Toner,sensitive,Retinol,791.24,3.7,452,5.0,True,True,False,Korea,2018
890100000131,Cetaphil Niacinamide Toner 131,Cetaphil,Toner,oily,Niacinamide,751.76,3.6,1942,5.1,True,True,True,Korea,2018
890100000132,Olay Ceramide Moisturizer 132,Olay,Moisturizer,dry,Ceramide,1011.08,3.6,3044,4.8,False,True,True,India,2019
890100000133,Minimalist Tea Tree Oil Cleanser 133,Minimalist,Cleanser,sensitive,Tea Tree Oil,1100.46,4.2,1006,7.0,False,False,False,Germany,2022
890100000134,Simple Retinol Toner 134,Simple,Toner,sensitive,Retinol,1891.96,3.0,818,6.2,True,True,True,France,2017
890100000135,Minimalist Panthenol Serum 135,Minimalist,Serum,sensitive,Panthenol,1910.6,3.9,2259,5.5,True,False,False,India,2020
890100000136,Mamaearth Vitamin C Sunscreen 136,Mamaearth,Sunscreen,combination,Vitamin C,1011.0,3.4,4693,6.1,False,False,True,Korea,2019
890100000137,Simple Tea Tree Oil Cleanser 137,Simple,Cleanser,sensitive,Tea Tree Oil,1257.59,4.3,3822,5.6,True,False,False,Germany,2020
890100000138,Neutrogena Niacinamide Moisturizer 138,Neutrogena,Moisturizer,combination,Niacinamide,1601.39,4.0,1892,6.0,False,False,True,USA,2025
890100000139,Olay Hyaluronic Acid Toner 139,Olay,Toner,dry,Hyaluronic Acid,341.94,4.6,3872,5.1,False,True,False,India,2016
890100000140,Simple Aloe Vera Sunscreen 140,Simple,Sunscreen,sensitive,Aloe Vera,497.96,4.5,1904,6.1,False,True,False,India,2025
890100000141,Simple Niacinamide Sunscreen 141,Simple,Sunscreen,dry,Niacinamide,1060.89,4.3,176,6.0,True,False,False,France,2016
890100000142,Cetaphil Zinc Oxide Cleanser 142,Cetaphil,Cleanser,combination,Zinc Oxide,718.06,3.3,598,6.3,True,False,False,France,2018
890100000143,Minimalist Panthenol Toner 143,Minimalist,Toner,dry,Panthenol,1614.21,4.6,578,4.5,True,False,False,Germany,2017
890100000144,Olay Salicylic Acid Cleanser 144,Olay,Cleanser,oily,Salicylic Acid,1515.67,4.5,1552,5.9,False,True,False,France,2023
890100000145,Olay Hyaluronic Acid Sunscreen 145,Olay,Sunscreen,oily,Hyaluronic Acid,1261.74,4.7,2520,5.0,False,True,True,Germany,2015
890100000146,Neutrogena Niacinamide Treatment 146,Neutrogena,Treatment,all,Niacinamide,972.49,4.6,1023,4.9,True,True,False,Germany,2015
890100000147,Cetaphil Niacinamide Sunscreen 147,Cetaphil,Sunscreen,all,Niacinamide,1417.31,4.1,3080,5.5,True,False,False,Korea,2022
890100000148,Minimalist Niacinamide Cleanser 148,Minimalist,Cleanser,dry,Niacinamide,1442.23,3.1,4259,5.4,True,True,False,India,2019
890100000149,Bioderma Ceramide Moisturizer 149,Bioderma,Moisturizer,all,Ceramide,1812.77,4.1,3651,5.3,True,True,False,India,2021
890100000150,Cetaphil Hyaluronic Acid Toner 150,Cetaphil,Toner,all,Hyaluronic Acid,365.98,3.3,1626,5.4,False,True,True,France,2021
890100000151,Plum Hyaluronic Acid Toner 151,Plum,Toner,combination,Hyaluronic Acid,1210.08,4.3,522,6.6,False,True,True,Korea,2024
890100000152,Minimalist Salicylic Acid Moisturizer 152,Minimalist,Moisturizer,sensitive,Salicylic Acid,1098.37,4.3,4144,6.8,False,True,False,Germany,2022
890100000153,Aveeno Panthenol Moisturizer 153,Aveeno,Moisturizer,sensitive,Panthenol,1512.91,3.8,3955,5.7,True,True,True,Germany,2021
890100000154,Simple Retinol Sunscreen 154,Simple,Sunscreen,dry,Retinol,242.05,3.6,2207,5.0,True,True,False,Korea,2021
890100000155,Cetaphil Vitamin C Serum 155,Cetaphil,Serum,combination,Vitamin C,1458.81,3.2,2639,6.0,False,False,False,India,2019
890100000156,Bioderma Vitamin C Serum 156,Bioderma,Serum,sensitive,Vitamin C,1826.37,4.1,4202,7.0,False,True,False,Korea,2019
890100000157,Mamaearth Niacinamide Moisturizer 157,Mamaearth,Moisturizer,sensitive,Niacinamide,1994.07,3.8,694,5.7,False,False,True,France,2015
890100000158,Plum Panthenol Cleanser 158,Plum,Cleanser,oily,Panthenol,952.68,4.3,1924,4.7,True,False,True,USA,2021
890100000159,Minimalist Ceramide Moisturizer 159,Minimalist,Moisturizer,oily,Ceramide,1867.76,3.1,4795,4.6,False,True,False,India,2025
890100000160,Simple Ceramide Serum 160,Simple,Serum,oily,Ceramide,1028.71,4.9,287,5.5,True,True,True,Korea,2016
890100000161,Aveeno Niacinamide Treatment 161,Aveeno,Treatment,oily,Niacinamide,1633.52,3.1,1530,6.8,False,True,False,Korea,2024
890100000162,Cetaphil Niacinamide Treatment 162,Cetaphil,Treatment,all,Niacinamide,1373.88,3.8,2333,5.4,False,False,False,USA,2022
890100000163,Minimalist Ceramide Sunscreen 163,Minimalist,Sunscreen,dry,Ceramide,1864.91,4.8,4050,4.6,True,True,True,India,2020
890100000164,Minimalist Aloe Vera Toner 164,Minimalist,Toner,oily,Aloe Vera,971.03,3.5,2850,4.7,False,False,False,USA,2024
890100000165,Simple Hyaluronic Acid Treatment 165,Simple,Treatment,all,Hyaluronic Acid,1802.52,4.0,2068,5.7,False,False,True,Korea,2017
890100000166,Bioderma Vitamin C Treatment 166,Bioderma,Treatment,dry,Vitamin C,310.28,3.8,2209,6.6,True,False,True,Germany,2023
890100000167,Aveeno Aloe Vera Sunscreen 167,Aveeno,Sunscreen,sensitive,Aloe Vera,1621.36,4.8,1614,5.1,False,False,False,Korea,2021
890100000168,Olay Vitamin C Cleanser 168,Olay,Cleanser,sensitive,Vitamin C,616.09,3.4,3918,5.3,True,False,False,Germany,2025
890100000169,Neutrogena Zinc Oxide Treatment 169,Neutrogena,Treatment,dry,Zinc Oxide,1008.16,4.6,4741,6.8,False,True,False,France,2024
890100000170,Bioderma Hyaluronic Acid Sunscreen 170,Bioderma,Sunscreen,all,Hyaluronic Acid,1751.02,4.7,1493,5.9,False,True,True,India,2021
890100000171,Olay Vitamin C Moisturizer 171,Olay,Moisturizer,sensitive,Vitamin C,1819.94,3.9,1092,6.1,False,True,True,France,2024
890100000172,Bioderma Aloe Vera Treatment 172,Bioderma,Treatment,combination,Aloe Vera,425.36,3.5,2122,6.0,True,False,True,India,2020
890100000173,Plum Zinc Oxide Cleanser 173,Plum,Cleanser,oily,Zinc Oxide,1261.83,4.5,3598,5.6,True,False,False,Germany,2024
890100000174,Simple Ceramide Sunscreen 174,Simple,Sunscreen,dry,Ceramide,1070.65,3.1,1647,6.3,True,False,False,Germany,2020
890100000175,Mamaearth Vitamin C Toner 175,Mamaearth,Toner,all,Vitamin C,741.39,4.9,4544,6.7,True,True,True,India,2015
890100000176,Minimalist Hyaluronic Acid Cleanser 176,Minimalist,Cleanser,oily,Hyaluronic Acid,404.14,4.8,1133,7.0,False,True,False,France,2019
890100000177,Minimalist Aloe Vera Treatment 177,Minimalist,Treatment,all,Aloe Vera,1723.32,4.0,2081,5.3,False,True,True,India,2023
890100000178,Minimalist Ceramide Toner 178,Minimalist,Toner,all,Ceramide,670.3,4.5,279,5.5,True,True,True,Germany,2015
890100000179,Plum Panthenol Moisturizer 179,Plum,Moisturizer,dry,Panthenol,299.58,4.8,3900,5.2,False,False,False,Korea,2016
890100000180,Mamaearth Aloe Vera Moisturizer 180,Mamaearth,Moisturizer,oily,Aloe Vera,636.09,3.9,501,6.4,True,False,False,USA,2024
890100000181,Simple Zinc Oxide Toner 181,Simple,Toner,all,Zinc Oxide,581.07,3.9,667,6.5,False,False,False,Korea,2025
890100000182,Plum Retinol Cleanser 182,Plum,Cleanser,sensitive,Retinol,1973.4,3.3,2820,4.9,True,True,False,Germany,2024
890100000183,Cetaphil Panthenol Sunscreen 183,Cetaphil,Sunscreen,dry,Panthenol,1585.97,3.7,2907,6.3,True,False,False,Korea,2021
890100000184,Mamaearth Aloe Vera Treatment 184,Mamaearth,Treatment,all,Aloe Vera,214.0,4.2,4005,4.5,False,True,True,Korea,2016
890100000185,Simple Hyaluronic Acid Serum 185,Simple,Serum,oily,Hyaluronic Acid,1157.27,4.9,2084,6.7,False,True,False,USA,2016
890100000186,Olay Salicylic Acid Toner 186,Olay,Toner,dry,Salicylic Acid,1465.81,4.0,1970,5.4,False,True,False,Germany,2019
890100000187,Simple Retinol Serum 187,Simple,Serum,sensitive,Retinol,548.46,4.5,3007,6.6,True,True,False,France,2019
890100000188,Simple Panthenol Moisturizer 188,Simple,Moisturizer,sensitive,Panthenol,1321.57,4.1,3975,5.7,False,False,False,Germany,2024
